api_id,api_title,field_path,description,type,example
3450,서울시 권역별 실시간 대기환경 현황,list_total_count,총 데이터 건수 (정상조회 시 출력됨),integer,1
3450,서울시 권역별 실시간 대기환경 현황,RESULT,,object,
3450,서울시 권역별 실시간 대기환경 현황,RESULT.CODE,요청결과 코드 ,string,INFO-000
3450,서울시 권역별 실시간 대기환경 현황,RESULT.MESSAGE,요청결과 메시지,string,정상 처리되었습니다
3450,서울시 권역별 실시간 대기환경 현황,row,row,object,
3450,서울시 권역별 실시간 대기환경 현황,row.MSRDT,측정일시,string,202312190800
3450,서울시 권역별 실시간 대기환경 현황,row.MSRRGN_NM,권역명,string,동북권
3450,서울시 권역별 실시간 대기환경 현황,row.MSRSTE_NM,측정소명,string,성동구
3450,서울시 권역별 실시간 대기환경 현황,row.PM10,미세먼지(㎍/㎥),string,16
3450,서울시 권역별 실시간 대기환경 현황,row.PM25,초미세먼지농도(㎍/㎥),string,9
3450,서울시 권역별 실시간 대기환경 현황,row.O3,오존(ppm),string,0.004
3450,서울시 권역별 실시간 대기환경 현황,row.NO2,이산화질소농도(ppm),string,0.038
3450,서울시 권역별 실시간 대기환경 현황,row.CO,일산화탄소농도(ppm),string,0.5
3450,서울시 권역별 실시간 대기환경 현황,row.SO2,아황산가스농도(ppm),string,0.002
3450,서울시 권역별 실시간 대기환경 현황,row.IDEX_NM	,통합대기환경등급,string,보통
3450,서울시 권역별 실시간 대기환경 현황,row.IDEX_MVL,통합대기환경지수,string,63
3450,서울시 권역별 실시간 대기환경 현황,row.ARPLT_MAIN,지수결정물질,string,NO2
3452,서울시 공공자전거 실시간 대여정보,list_total_count,총 데이터 건수,integer,10
3452,서울시 공공자전거 실시간 대여정보,RESULT,result,object,
3452,서울시 공공자전거 실시간 대여정보,RESULT.CODE,code,integer,INFO-000
3452,서울시 공공자전거 실시간 대여정보,RESULT.MESSAGE,message,string,정상 처리되었습니다.
3452,서울시 공공자전거 실시간 대여정보,row,row,array of object,
3452,서울시 공공자전거 실시간 대여정보,row[].rackTotCnt,거치대 수,integer,15
3452,서울시 공공자전거 실시간 대여정보,row[].stationName,대여소이름,string,102. 망원역 1번출구 앞
3452,서울시 공공자전거 실시간 대여정보,row[].parkingBikeTotCnt,자전거주차총건수,integer,25
3452,서울시 공공자전거 실시간 대여정보,row[].shared,거치율,string,167
3452,서울시 공공자전거 실시간 대여정보,row[].stationLatitude,위도,string,37.55564880
3452,서울시 공공자전거 실시간 대여정보,row[].stationLongitude,경도,string,126.91062927
3452,서울시 공공자전거 실시간 대여정보,row[].stationId,대여소ID,string,ST-4
3459,대기질 예보통보 조회,totalCount,전체 결과 수,string,0
3459,대기질 예보통보 조회,items,대기질 예보통보 목록,array of object,
3459,대기질 예보통보 조회,items[].dataTime,통보시간,string,
3459,대기질 예보통보 조회,items[].informCode,통보코드,string,
3459,대기질 예보통보 조회,items[].informOverall,예보개황,string,
3459,대기질 예보통보 조회,items[].informCause,발생원인,string,
3459,대기질 예보통보 조회,items[].informGrade,예보등급,string,
3459,대기질 예보통보 조회,items[].actionKnack,행동요령,string,
3459,대기질 예보통보 조회,items[].imageUrl1,시간대별 예측모델 결과사진 첨부파일명,string,
3459,대기질 예보통보 조회,items[].imageUrl2,시간대별 예측모델 결과사진 첨부파일명,string,
3459,대기질 예보통보 조회,items[].imageUrl3,시간대별 예측모델 결과사진 첨부파일명,string,
3459,대기질 예보통보 조회,items[].imageUrl4,시간대별 예측모델 결과사진 첨부파일명,string,
3459,대기질 예보통보 조회,items[].imageUrl5,시간대별 예측모델 결과사진 첨부파일명,string,
3459,대기질 예보통보 조회,items[].imageUrl6,시간대별 예측모델 결과사진 첨부파일명,string,
3459,대기질 예보통보 조회,items[].imageUrl7,시간대별 예측모델 결과사진 첨부파일명,string,
3459,대기질 예보통보 조회,items[].imageUrl8,시간대별 예측모델 결과사진 첨부파일명,string,
3459,대기질 예보통보 조회,items[].informData,예측통보시간,string,
3462,초미세먼지 주간예보 조회,totalCount,전체 결과 수,string,0
3462,초미세먼지 주간예보 조회,items,초미세먼지 주간예보 목록,array of object,
3462,초미세먼지 주간예보 조회,items[].frcstOneCn,첫째날예보,string,
3462,초미세먼지 주간예보 조회,items[].frcstTwoCn,둘째날예보,string,
3462,초미세먼지 주간예보 조회,items[].frcstThreeCn,셋째날예보,string,
3462,초미세먼지 주간예보 조회,items[].frcstFourCn,넷째날예보,string,
3462,초미세먼지 주간예보 조회,items[].presnatnDt,발표일시,string,
3462,초미세먼지 주간예보 조회,items[].frcstOneDt,첫째날예보일시,string,
3462,초미세먼지 주간예보 조회,items[].frcstTwoDt,둘째날예보일시,string,
3462,초미세먼지 주간예보 조회,items[].frcstThreeDt,셋째날예보일시,string,
3462,초미세먼지 주간예보 조회,items[].frcstFourDt,넷째날예보일시,string,
3462,초미세먼지 주간예보 조회,items[].gwthcnd,대기질 전망,string,
3465,측정소별 실시간 측정정보 조회,totalCount,전체 결과 수,string,0
3465,측정소별 실시간 측정정보 조회,items,측정소별 실시간 측정정보 목록,array of object,
3465,측정소별 실시간 측정정보 조회,items[].dataTime,측정일,string,
3465,측정소별 실시간 측정정보 조회,items[].stationName,측정소명,string,
3465,측정소별 실시간 측정정보 조회,items[].stationCode,측정소 코드,string,
3465,측정소별 실시간 측정정보 조회,items[].mangName,측정망 정보,string,
3465,측정소별 실시간 측정정보 조회,items[].so2Value,아황산가스 농도(단위 : ppm),string,
3465,측정소별 실시간 측정정보 조회,items[].coValue,일산화탄소 농도(단위 : ppm),string,
3465,측정소별 실시간 측정정보 조회,items[].o3Value,오존 농도(단위 : ppm),string,
3465,측정소별 실시간 측정정보 조회,items[].no2Value,이산화질소 농도(단위 : ppm),string,
3465,측정소별 실시간 측정정보 조회,items[].pm10Value,미세먼지(PM10) 농도(단위 : ㎍/㎥),string,
3465,측정소별 실시간 측정정보 조회,items[].pm10Value24,미세먼지(PM10) 24시간예측이동농도(단위 : ㎍/㎥),string,
3465,측정소별 실시간 측정정보 조회,items[].pm25Value,미세먼지(PM2.5) 농도(단위 : ㎍/㎥),string,
3465,측정소별 실시간 측정정보 조회,items[].pm25Value24,미세먼지(PM2.5) 24시간예측이동농도(단위 : ㎍/㎥),string,
3465,측정소별 실시간 측정정보 조회,items[].khaiValue,통합대기환경수치,string,
