sido,sigungu,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,전월세구분,a1,a2,a3
부산광역시,동구,38163,368.3,7483,14047,1441,0,14343,543,39731,8.7,0.09,0.01,0,0.02,0.12,월세,60.79929837,3732.473193,75.05827506
부산광역시,강서구,47138,652.2,9292,23555,1696,0,11626,511,51304,4,0.04,0,0,0.03,0.07,월세,69.58463584,8280.642266,57.27625716
부산광역시,연제구,83398,1029.1,16495,38031,3203,0,24188,762,85601,4.2,0.04,0,0,0.01,0.05,월세,65.15740464,5670.0656,60.3712
부산광역시,수영구,74187,787.4,14898,29442,2898,0,25229,1134,76652,3.8,0.04,0,0,0.01,0.05,월세,68.62548636,4842.817676,77.58663883
부산광역시,기장군,62178,841.6,11582,30331,2564,0,16608,552,66494,3.2,0.03,0,0,0.02,0.05,월세,65.60935686,4034.555671,56.67011911
대구광역시,중구,34207,336.5,5999,12371,1155,0,13872,552,34767,7,0.07,0,0,0.04,0.12,월세,76.64626493,3227.610619,94.48615725
대구광역시,남구,68268,644.8,12334,23994,2434,0,28372,485,69079,5.2,0.05,0,0,0.01,0.07,월세,76.08923944,3219.248826,73.11267606
광주광역시,남구,111594,1273.8,21736,49569,4506,0,33699,1247,86939,3.1,0.03,0,0,0.01,0.04,월세,65.02699067,4921.866751,47.32741117
울산광역시,동구,60684,828.6,12132,29591,2036,0,16053,303,61022,2.2,0.02,0,0,0.01,0.03,월세,64.9635071,1657.95175,54.02081362
울산광역시,울주군,84394,1075.8,17152,40202,2850,0,22484,879,86748,3.2,0.03,0,0,0.02,0.05,월세,63.79717412,2654.550584,51.47957198
경기도,김포시,156040,2228.4,28766,81608,7342,0,35185,1617,171555,1.3,0.01,0,0,0.02,0.04,월세,63.24943166,5987.948404,55.35085305
경기도,양주시,81582,1137.3,15997,40037,3928,0,19889,975,86463,2.4,0.03,0,0,0.03,0.06,월세,62.25242679,6287.575463,36.50123073
경기도,양평군,45895,498.9,11339,16836,2301,0,14149,961,47402,5,0.05,0,0,0.04,0.1,월세,75.03541103,3660,77.4
강원도,동해시,36214,434.8,8505,15119,1193,0,10528,506,37388,5.8,0.06,0,0,0.02,0.08,월세,60.66557931,3785.873611,34.52916667
강원도,태백시,18536,200.7,4431,6633,697,0,6148,492,18571,7.4,0.08,0,0,0.02,0.1,월세,40.64066447,909.4473684,33.95394737
강원도,삼척시,29361,285.3,6911,9920,914,0,10834,541,30722,8,0.08,0,0,0.02,0.1,월세,56.78821947,1381.482301,48.67256637
강원도,홍천군,28356,307,7347,9800,1304,0,9206,477,29118,7.6,0.07,0,0,0.04,0.11,월세,51.2234,1318.292994,42.58598726
