api_title,활용가능 속성 목록,선택한 이유
4대보험 완납증명서_국민건강보험,보험구분(건강),이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
각 장기나이 분석_메디에이지,"W:위험신호, F:기능성 영양식품, 효과(위험신호일 경우 효과는 제공되지 않음)",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
개인별건강보험료산출내역_국민건강보험,"지원금, 충당액 및 납부한 금액 등, 구분(건강/요양/합계)",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
개인별고용보험료산출내역_국민건강보험,"지원금, 충당액 및 납부한 금액 등, 두루누리 지원금",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
개인별산재보험료산출내역_국민건강보험,"지원금, 충당액 및 납부한 금액 등",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
개인별연금보험료산출내역_국민건강보험,"두루누리 지원금, 지원금, 충당액 및 납부한 금액2, 지원금, 충당액 및 납부한 금액1",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
건강검진결과목록조회_국민건강보험,"건강검진결과 목록, 문진정보 key(연도별건강검진결과조회 시 문진정보  조회 키값), 검진결과 key(연도별건강검진결과조회 시 검진결과 조회 키값)",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
건강검진대상조회_국민건강보험,"국가암의료비지원대상 관할보건소, 국가암의료비지원대상",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
건강나이 알아보기_국민건강보험,"건강검진일, 건강나이",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
건강나이알아보기 조회_국민건강보험,"건강위험요인 결과메시지, 건강나이, 건강위험요인 표, 위험요인",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
건강보험 납부확인서_국민건강보험,"지역납부 건강보험료, 지역고지 요양보험료, 직장고지 건강보험료, 지역고지 건강보험료, 지역납부 요양보험료, 소득고지 건강보험료, 소득납부 건강보험료, 직장납부 건강보험료",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
건강보험료고지납부현황_국민건강보험,"건강보험료고지납부 목록, 건강_납부일, 건강_납부마감일, 건강_미납보험료, 건강_수납총보험료, 건강_고지금액, 건강_수납보험료, 건강_미납연체금, 건강_미납총보험료, 건강_수납연체금",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
건축물대장 열람_정부24,지역,이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
검진정보목록 조회_국민건강보험,건강증세,이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
경매 물건 상세조회_경매다,"물건지역내 개발계획 리스트, 부동산의 구분 (대지권,토지,건물)",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
골다공증성 골절예측 조회_국민건강보험,"골다공증성 골절예측위험도 처방메시지, 건강위험요인 표, 위험요인",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
기업평가내용 상세조회_벤처기업확인기관,"위험감수성 평가근거, 위험감수성 점수",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
꿀시세 조회_KB부동산,"지역내 비교(매매), 지역내 비교(전세)",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
내 진료정보 조회_건강보험심사평가원,"건강보험 등 혜택받은 금액, 내가 낸 의료비(진료비), 총 진료비(건강보험 적용분)",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
뇌졸중예측 조회_국민건강보험,"뇌졸중예측위험도 처방메시지, 위험요인 표, 위험요인",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
당뇨병예측 조회_국민건강보험,"당뇨병에 영향을 미치는 주요 건강검진 항목, 위험단계",이 API는 보건 및 의료 관련 정보를 제공하여 대상자의 건강 상태와 복지 필요성을 평가하는 데 유용합니다.
매출조회_배달의민족,배달비지원,이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
매출조회_요기요,본사할인지원금금액,이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
배달비 조회_비버웍스,"특정 주소 할증 배달비(지역 할증, 기본 0)",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
법인 열람/발급내역 조회_인터넷등기소,"부동산 결제건수, 부동산 열람 통수, 부동산/법인, 부동산 열람 수수료, 부동산 발급 통수, 부동산 발급 수수료, 부동산 취소건수",이 API는 사회보장과 관련된 다양한 속성을 제공하여 취약계층의 복지 및 안전 평가에 도움이 됩니다.
부동산 가격산정 데이터_밸류쇼핑,"용도지역, 용도 지역",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
부동산 단지별 조회_네이버부동산,"KB부동산 시세, 한국부동산원 시세, 부동산뱅크 시세, 종합부동산세, 부동산구분명, (지역) 학급당 평균 학생수, 전년도 연간 급식비 지원 총액, (지역) 교사당 평균 학생수, 전년도 급식지원 대상 학생수",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
부동산 소유현황 조회_인터넷등기소,"부동산 소유현황 목록, 부동산 고유번호, 부동산의 표시",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
부동산 시세 추정(조회)_태평양감정평가법인,용도지역,이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
"부동산 조회(사무실,상가)_네이버부동산","부동산 정보, 지역, 부동산 전화번호, (지역) 학급당 평균 학생수, 전년도 연간 급식비 지원 총액, (지역) 교사당 평균 학생수, 전년도 급식지원 대상 학생수, 부동산 이름, 시세(테이블) - KB부동산, 시세(테이블) - 한국부동산원, 시세(테이블) - 부동산뱅크, 용도지역",이 API는 지역별 주거 현황과 부동산 정보를 제공하여 주거 취약계층의 생활 안정성을 평가하는 데 적합합니다.
