인덱스,예측값_전체가구의 주거빈곤가구 비율,실제값_전체가구의 주거빈곤가구 비율,시도,시군구,x1_시군구별 총 주택 수,x2_시군구별 다세대 주택 수,x3_시군구별 단독 주택 수,x4_시군구별 단독 주택 수,x5_시군구별 연립주택 수,x6_시군구별 영업용건물내주택 수,x7_시군구별 주택이외거처 수,x8_시군구별 면적20m^2?이하 수,x9_시군구별 일반가구수,x10_시군구별 일반가구의 기준미달비율,x11_시군구별 60세이상 치매환자 유병률,x12_시군구별 60세이상 치매 중등도 환자 수,x13_시군구별 60세이상 치매 중증환자 수,x14_시군구별 미세먼지 사업장 수(1종)* 보유수,x15_시군구별 미세먼지 배출시설 대비 방지시설 보유 비율,y1,y2,y3,y4,y5_전체가구의 주거빈곤가구 비율,시도코드,시군구코드,시군구2,경도,위도,일반가구수,일반가구_기준미달비율,전체가구_기준미달가구 비율,전체가구_지하거주가구 비율,전체가구_옥상거주가구 비율,전체가구_주택이외거처가구 비율,전체가구_주거빈곤가구 비율
10,0.0539343575,0.05,울산광역시,울주군,84394,1075.8,17152,40202,2850,0,22484,879,86748,3.2,6.55,991.88,598.22,34.0,0.424285714,0.03,0.0,0.0,0.02,0.05,3100000000,3171000000,,129.2424748,35.52230648,86748,3.2,0.03,0.0,0.0,0.02,0.05
145,0.0976988642,0.08,인천광역시,부평구,194930,2487.5,32313,99196,7993,0,50915,3050,113413,3.4,6.63,2173.2,1310.68,3.0,0.928251121,0.04,0.03,0.0,0.01,0.08,2800000000,2823700000,,126.7219068,37.50784204,113413,3.4,0.04,0.03,0.0,0.01,0.08
16,0.120837263,0.1,강원특별자치도,삼척시,29361,285.3,6911,9920,914,0,10834,541,30722,8.0,8.73,545.9,329.24,2.0,1.014035088,0.08,0.0,0.0,0.02,0.1,5100000000,5123000000,,129.1674889,37.44708611,30722,8.0,0.08,0.0,0.0,0.02,0.1
125,0.116892774,0.09,부산광역시,영도구,49823,535.0,10039,19874,1917,0,17189,371,50786,7.4,7.71,878.79,530.01,,,0.08,0.0,0.0,0.01,0.09,2600000000,2620000000,,129.0701861,35.08811667,50786,7.4,0.08,0.0,0.0,0.01,0.09
155,0.0568487776,0.05,대전광역시,서구,196870,2371.7,32631,88926,5877,0,64879,2847,203082,3.1,6.63,1774.27,1070.08,,,0.04,0.0,0.0,0.01,0.05,3000000000,3017000000,,127.3834158,36.35707299,203082,3.1,0.04,0.0,0.0,0.01,0.05
76,0.151865689,0.15,경상북도,영덕군,16918,147.8,4458,4765,629,0,6565,398,16952,10.4,10.48,483.69,291.72,1.0,3.0,0.11,0.0,0.0,0.03,0.15,4700000000,4777000000,,129.3683556,36.41210278,16952,10.4,0.11,0.0,0.0,0.03,0.15
127,0.0640556821,0.05,부산광역시,동래구,103176,1319.6,20602,50065,4236,0,26743,605,105881,3.6,6.75,1367.11,824.52,,,0.04,0.0,0.0,0.01,0.05,2600000000,2626000000,,129.0858556,35.20187222,105881,3.6,0.04,0.0,0.0,0.01,0.05
96,0.150418042,0.14,경상남도,거창군,25491,279.9,6465,9205,1017,0,8382,205,25832,10.7,9.95,624.55,376.67,2.0,1.625,0.11,0.0,0.01,0.03,0.14,4800000000,4888000000,,127.9116556,35.683625,25832,10.7,0.11,0.0,0.01,0.03,0.14
46,0.15573102,0.17,전북특별자치도,진안군,10348,101.3,2723,3100,549,0,3654,255,10632,10.5,10.19,323.35,195.02,,,0.11,0.0,0.01,0.05,0.17,5200000000,5272000000,,127.4269667,35.78871944,10632,10.5,0.11,0.0,0.01,0.05,0.17
26,0.145979829,0.16,강원특별자치도,고성군,11132,119.3,2865,3593,533,0,3823,223,11700,9.8,8.74,265.18,159.94,1.0,3.0,0.11,0.0,0.0,0.05,0.16,5100000000,5182000000,,128.4701639,38.37796111,11700,9.8,0.11,0.0,0.0,0.05,0.16
105,0.159635575,0.19,서울특별시,성북구,176729,2136.9,28522,78972,7502,0,57800,2399,179421,9.3,7.68,2157.12,1300.98,,,0.11,0.05,0.01,0.03,0.19,1100000000,1129000000,,127.0203333,37.58638333,179421,9.3,0.11,0.05,0.01,0.03,0.19
