시도,시군구,경도,위도,일반가구수,일반가구_기준미달비율,전체가구_기준미달가구 비율,전체가구_지하거주가구 비율,전체가구_옥상거주가구 비율,전체가구_주택이외거처가구 비율,전체가구_주거빈곤가구 비율
부산광역시,동구,129.059175,35.13589444,39731,8.7,0.09,0.01,0.0,0.02,0.12
부산광역시,강서구,128.9829083,35.20916389,51304,4.0,0.04,0.0,0.0,0.03,0.07
부산광역시,연제구,129.082075,35.17318611,85601,4.2,0.04,0.0,0.0,0.01,0.05
부산광역시,수영구,129.115375,35.14246667,76652,3.8,0.04,0.0,0.0,0.01,0.05
부산광역시,기장군,129.2222873,35.24477541,66494,3.2,0.03,0.0,0.0,0.02,0.05
대구광역시,중구,128.6061745,35.86952722,34767,7.0,0.07,0.0,0.0,0.04,0.12
대구광역시,남구,128.597702,35.84621351,69079,5.2,0.05,0.0,0.0,0.01,0.07
인천광역시,옹진군,126.6388889,37.443725,8735,6.8,0.07,0.0,0.0,0.06,0.13
광주광역시,남구,129.0865,35.13340833,86939,3.1,0.03,0.0,0.0,0.01,0.04
울산광역시,동구,129.4166919,35.50516996,61022,2.2,0.02,0.0,0.0,0.01,0.03
울산광역시,울주군,129.2424748,35.52230648,86748,3.2,0.03,0.0,0.0,0.02,0.05
경기도,김포시,126.7177778,37.61245833,171555,1.3,0.01,0.0,0.0,0.02,0.04
경기도,양주시,127.0478194,37.78245,86463,2.4,0.03,0.0,0.0,0.03,0.06
경기도,양평군,127.4898861,37.48893611,47402,5.0,0.05,0.0,0.0,0.04,0.1
강원도,동해시,129.1166333,37.52193056,37388,5.8,0.06,0.0,0.0,0.02,0.08
강원도,태백시,128.9879972,37.16122778,18571,7.4,0.08,0.0,0.0,0.02,0.1
강원도,삼척시,129.1674889,37.44708611,30722,8.0,0.08,0.0,0.0,0.02,0.1
강원도,홍천군,127.8908417,37.69442222,29118,7.6,0.07,0.0,0.0,0.04,0.11
강원도,횡성군,127.9872222,37.48895833,19466,6.9,0.07,0.0,0.0,0.05,0.12
강원도,영월군,128.4640194,37.18086111,17034,9.8,0.1,0.0,0.0,0.05,0.15
강원도,평창군,128.3923528,37.36791667,18268,5.8,0.06,0.0,0.01,0.05,0.12
강원도,정선군,128.6630861,37.37780833,16247,9.5,0.1,0.0,0.0,0.06,0.16
강원도,철원군,127.3157333,38.14405556,16930,5.6,0.06,0.0,0.0,0.05,0.11
