sido,sigungu,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,전월세구분,a1,a2,a3
부산광역시,동구,38163.0,368.3,7483.0,14047.0,1441.0,0.0,14343.0,543.0,39731,8.7,0.09,0.01,0.0,0.02,0.12,월세,60.79929836829837,3732.4731934731935,75.05827505827506
부산광역시,강서구,47138.0,652.2,9292.0,23555.0,1696.0,0.0,11626.0,511.0,51304,4.0,0.04,0.0,0.0,0.03,0.07,월세,69.58463583704646,8280.642266072566,57.27625716104392
부산광역시,연제구,83398.0,1029.1,16495.0,38031.0,3203.0,0.0,24188.0,762.0,85601,4.2,0.04,0.0,0.0,0.01,0.05,월세,65.15740464,5670.0656,60.3712
부산광역시,수영구,74187.0,787.4,14898.0,29442.0,2898.0,0.0,25229.0,1134.0,76652,3.8,0.04,0.0,0.0,0.01,0.05,월세,68.6254863604732,4842.817675713292,77.5866388308977
부산광역시,기장군,62178.0,841.6,11582.0,30331.0,2564.0,0.0,16608.0,552.0,66494,3.2,0.03,0.0,0.0,0.02,0.05,월세,65.60935686172967,4034.555670636976,56.670119109269805
대구광역시,중구,34207.0,336.5,5999.0,12371.0,1155.0,0.0,13872.0,552.0,34767,7.0,0.07,0.0,0.0,0.04,0.12,월세,76.64626493362833,3227.6106194690265,94.48615725359912
대구광역시,남구,68268.0,644.8,12334.0,23994.0,2434.0,0.0,28372.0,485.0,69079,5.2,0.05,0.0,0.0,0.01,0.07,월세,76.08923943661972,3219.24882629108,73.11267605633803
광주광역시,남구,111594.0,1273.8,21736.0,49569.0,4506.0,0.0,33699.0,1247.0,86939,3.1,0.03,0.0,0.0,0.01,0.04,월세,65.02699067258882,4921.866751269035,47.32741116751269
울산광역시,동구,60684.0,828.6,12132.0,29591.0,2036.0,0.0,16053.0,303.0,61022,2.2,0.02,0.0,0.0,0.01,0.03,월세,64.96350709555345,1657.9517502365184,54.02081362346263
울산광역시,울주군,84394.0,1075.8,17152.0,40202.0,2850.0,0.0,22484.0,879.0,86748,3.2,0.03,0.0,0.0,0.02,0.05,월세,63.79717412451362,2654.550583657588,51.4795719844358
경기도,김포시,156040.0,2228.4,28766.0,81608.0,7342.0,0.0,35185.0,1617.0,171555,1.3,0.01,0.0,0.0,0.02,0.04,월세,63.249431659328565,5987.948403962576,55.35085305448541
경기도,양주시,81582.0,1137.3,15997.0,40037.0,3928.0,0.0,19889.0,975.0,86463,2.4,0.03,0.0,0.0,0.03,0.06,월세,62.25242679103511,6287.575463142895,36.50123072936909
경기도,양평군,45895.0,498.9,11339.0,16836.0,2301.0,0.0,14149.0,961.0,47402,5.0,0.05,0.0,0.0,0.04,0.1,월세,75.03541102564103,3660.0,77.4
충청북도,보은군,14044.0,142.4,3943.0,4327.0,694.0,0.0,4768.0,198.0,14263,9.6,0.1,0.0,0.0,0.04,0.14,월세,65.82158421052632,1854.2631578947369,39.21052631578947
충청북도,영동군,20749.0,220.5,5383.0,6401.0,1078.0,0.0,7302.0,447.0,20927,8.5,0.09,0.0,0.0,0.03,0.12,월세,48.93001351351352,1552.4324324324325,24.10810810810811
충청북도,진천군,32901.0,397.8,6648.0,13397.0,1177.0,0.0,10642.0,678.0,34712,3.5,0.03,0.0,0.0,0.03,0.07,월세,69.33623260242354,7280.195037507213,25.60992498557415
충청북도,괴산군,17013.0,150.8,4858.0,4470.0,679.0,0.0,6475.0,424.0,18146,7.5,0.07,0.0,0.0,0.04,0.11,월세,41.87658823529412,1137.1176470588234,19.352941176470587
충청북도,음성군,39538.0,406.7,8419.0,13833.0,1512.0,0.0,14551.0,932.0,40276,3.8,0.04,0.0,0.0,0.04,0.08,월세,46.1394494140625,1788.5234375,28.474609375
충청북도,단양군,12719.0,124.5,3743.0,3742.0,460.0,0.0,4469.0,179.0,12744,8.0,0.08,0.0,0.0,0.03,0.11,월세,56.341053125,1521.875,50.625
충청북도,증평군,15374.0,191.3,2850.0,6384.0,557.0,0.0,5203.0,213.0,15677,3.9,0.04,0.0,0.0,0.02,0.06,월세,59.60468949044586,6917.856687898089,22.694267515923567
충청남도,보령시,41410.0,466.3,10274.0,15352.0,1839.0,0.0,12843.0,746.0,42313,4.5,0.05,0.0,0.0,0.03,0.08,월세,47.09985530864198,1377.7802469135802,33.42962962962963
충청남도,계룡시,15028.0,230.2,3159.0,7962.0,552.0,0.0,3045.0,134.0,15101,1.3,0.01,0.0,0.0,0.01,0.03,월세,57.10566581818182,1854.0272727272727,44.46909090909091
충청남도,부여군,27982.0,282.9,8064.0,8973.0,1340.0,0.0,9061.0,268.0,28221,6.5,0.07,0.0,0.0,0.03,0.1,월세,50.126986046511625,1518.5581395348838,27.46511627906977
충청남도,서천군,22581.0,230.6,6634.0,6952.0,960.0,0.0,7528.0,315.0,22708,5.4,0.06,0.0,0.0,0.03,0.08,월세,43.94740064102564,1751.5897435897436,20.23076923076923
충청남도,청양군,13382.0,136.0,3759.0,3966.0,734.0,0.0,4550.0,280.0,13497,6.0,0.06,0.0,0.0,0.04,0.11,월세,31.59168181818181,1002.181818181818,24.181818181818183
충청남도,홍성군,42235.0,465.3,9824.0,15839.0,1693.0,0.0,13960.0,526.0,43119,3.9,0.04,0.0,0.0,0.02,0.06,월세,53.06016818181818,3447.33756684492,31.649064171122998
충청남도,예산군,32933.0,356.3,8930.0,11412.0,1615.0,0.0,10198.0,523.0,33557,5.2,0.05,0.0,0.0,0.03,0.08,월세,60.3136996031746,2633.531746031746,36.92063492063492
충청남도,태안군,26887.0,279.4,7417.0,8502.0,1121.0,0.0,9191.0,408.0,27963,5.5,0.06,0.0,0.0,0.04,0.1,월세,54.644576388888886,1590.6527777777778,39.5
전라남도,목포시,92846.0,1109.2,17626.0,40712.0,3261.0,0.0,29003.0,1384.0,94214,4.3,0.04,0.0,0.0,0.02,0.06,월세,66.53130393046108,8768.578609221466,25.33257747543462
